  	B:  1.681944E8
  	S:  2.06337456E8
  	早盘竞价交易:  1.2618246E7
  	尾盘竞价交易:  3921852.0
  	不明交易:  338246.0
  	总计:3.91410176E8

 	 价格：4.38  	 小计：7.2732224E7
 	 价格：4.4  	 小计：5.403552E7
 	 价格：4.39  	 小计：5.2020576E7
 	 价格：4.37  	 小计：4.4548592E7
 	 价格：4.45  	 小计：3.141164E7
 	 价格：4.41  	 小计：2.730006E7
 	 价格：4.44  	 小计：2.124762E7
 	 价格：4.43  	 小计：1.8343732E7
 	 价格：4.49  	 小计：1.6731535E7
 	 价格：4.42  	 小计：1.2677002E7
 	 价格：4.48  	 小计：1.2589696E7
 	 价格：4.46  	 小计：1.1447036E7
 	 价格：4.47  	 小计：8380356.0
 	 价格：4.36  	 小计：7944792.0

	 时间-14:44	 价格-4.38	 笔数-1590  	 交易帐户数（假想）-44	 被动买还是主动买-B	 小计-696420.0
	 时间-14:55	 价格-4.38	 笔数-1587  	 交易帐户数（假想）-3	 被动买还是主动买-B	 小计-695106.0
	 时间-9:32	 价格-4.45	 笔数-1558  	 交易帐户数（假想）-53	 被动买还是主动买-S	 小计-693309.94
	 时间-10:05	 价格-4.4	 笔数-1572  	 交易帐户数（假想）-44	 被动买还是主动买-S	 小计-691680.0
	 时间-11:23	 价格-4.41	 笔数-1552  	 交易帐户数（假想）-35	 被动买还是主动买-B	 小计-684432.0
	 时间-9:54	 价格-4.43	 笔数-1521  	 交易帐户数（假想）-24	 被动买还是主动买-S	 小计-673803.0
	 时间-14:37	 价格-4.36	 笔数-1540  	 交易帐户数（假想）-46	 被动买还是主动买-S	 小计-671440.06
	 时间-13:53	 价格-4.39	 笔数-1526  	 交易帐户数（假想）-6	 被动买还是主动买-B	 小计-669913.94
	 时间-14:36	 价格-4.37	 笔数-1519  	 交易帐户数（假想）-28	 被动买还是主动买-S	 小计-663803.0
	 时间-10:13	 价格-4.41	 笔数-1500  	 交易帐户数（假想）-16	 被动买还是主动买-B	 小计-661500.0
	 时间-9:38	 价格-4.44	 笔数-1481  	 交易帐户数（假想）-47	 被动买还是主动买-B	 小计-657564.0
	 时间-14:54	 价格-4.37	 笔数-1504  	 交易帐户数（假想）-32	 被动买还是主动买-B	 小计-657248.0
	 时间-13:01	 价格-4.4	 笔数-1492  	 交易帐户数（假想）-57	 被动买还是主动买-S	 小计-656480.0
	 时间-9:40	 价格-4.45	 笔数-1463  	 交易帐户数（假想）-57	 被动买还是主动买-B	 小计-651034.94
	 时间-9:30	 价格-4.46	 笔数-1429  	 交易帐户数（假想）-25	 被动买还是主动买-S	 小计-637334.0
	 时间-10:14	 价格-4.4	 笔数-1435  	 交易帐户数（假想）-16	 被动买还是主动买-S	 小计-631400.0
	 时间-9:36	 价格-4.43	 笔数-1424  	 交易帐户数（假想）-27	 被动买还是主动买-S	 小计-630832.0
	 时间-9:32	 价格-4.45	 笔数-1380  	 交易帐户数（假想）-30	 被动买还是主动买-S	 小计-614099.94
	 时间-9:55	 价格-4.42	 笔数-1387  	 交易帐户数（假想）-34	 被动买还是主动买-S	 小计-613054.0
	 时间-9:35	 价格-4.45	 笔数-1377  	 交易帐户数（假想）-19	 被动买还是主动买-B	 小计-612765.0
	 时间-10:04	 价格-4.4	 笔数-1386  	 交易帐户数（假想）-26	 被动买还是主动买-B	 小计-609840.0
	 时间-13:10	 价格-4.38	 笔数-1379  	 交易帐户数（假想）-47	 被动买还是主动买-S	 小计-604002.0
	 时间-9:37	 价格-4.44	 笔数-1346  	 交易帐户数（假想）-40	 被动买还是主动买-B	 小计-597624.0
	 时间-14:41	 价格-4.36	 笔数-1307  	 交易帐户数（假想）-54	 被动买还是主动买-S	 小计-569852.0
