9:56 20 211 37 S
9:56 20 564 52 B
9:56 20 611 48 S
9:56 20 309 16 B
9:56 20 229 32 B
9:56 20.01 818 52 B
9:56 20.01 522 19 B
9:56 20.02 2169 39 B
9:56 20 425 41 S
9:56 20 217 19 S
9:56 20.02 412 36 B
9:56 20.02 860 64 B
9:57 20.03 1021 65 B
9:57 20.03 602 66 B
9:57 20.03 79 14 S
9:57 20.04 350 29 B
9:57 20.04 502 26 B
9:57 20.03 565 76 S
9:57 20.05 150 23 B
9:57 20.04 276 27 S
9:57 20.05 200 23 S
9:57 20.05 275 34 B
9:57 20.05 239 37 S
9:57 20.03 463 42 S
9:57 20.03 327 20 S
9:57 20.05 711 75 B
9:57 20.05 299 28 S
9:57 20.04 453 41 S
9:57 20.06 334 35 B
9:57 20.05 315 43 S
9:57 20.05 994 47 B
9:57 20.06 190 23 B
9:58 20.06 1340 47 B
9:58 20.05 732 35 S
9:58 20.05 160 15 S
9:58 20.06 497 33 B
9:58 20.04 184 44 S
9:58 20.03 129 21 S
9:58 20.05 499 32 B
9:58 20.04 609 50 
9:58 20.05 262 25 B
9:58 20.02 1023 42 S
9:58 20.03 152 22 S
9:58 20.02 577 24 S
9:58 20.03 225 28 B
9:58 20.02 1549 67 S
9:58 20.04 1040 47 B
9:58 20.01 322 28 S
9:58 20 1018 90 S
9:58 20 489 44 B
9:58 19.99 376 34 B
9:58 19.99 176 17 B
9:59 19.99 1188 48 B
9:59 20 2440 37 B
9:59 20 567 45 B
9:59 20.01 429 25 B
9:59 20 722 36 S
9:59 20.01 1182 36 B
9:59 20.01 228 41 B
9:59 20.01 127 23 S
9:59 20 211 30 S
9:59 20.01 488 28 B
9:59 20.02 210 13 B
9:59 20 353 40 S
9:59 20 296 22 B
9:59 20.01 194 19 B
9:59 20.01 1009 40 B
9:59 20 389 29 S
9:59 20 185 18 B
9:59 20 234 24 B
9:59 20 413 24 B
9:59 20 555 26 B
10:00 20.01 368 14 B
10:00 20.01 62 13 B
10:00 20 110 11 S
10:00 20 576 33 S
10:00 20 394 36 S
10:00 20.01 57 15 
10:00 20.01 279 29 S
10:00 20 1447 57 S
10:00 20.02 1205 50 B
10:00 20.02 44 12 S
10:00 20.02 395 26 B
10:00 20.02 155 18 S
10:00 20.03 62 13 B
10:00 20.02 107 17 S
10:00 20.03 187 18 B
10:00 20.03 165 26 S
10:00 20.03 95 12 S
10:00 20.04 442 34 B
10:00 20.04 1165 39 B
10:00 20.04 774 52 S
10:01 20.04 1248 79 S
10:01 20.03 445 25 S
10:01 20.03 766 26 B
10:01 20.03 733 16 B
10:01 20.04 854 32 B
10:01 20.04 2163 67 B
10:01 20.03 1692 27 S
10:01 20.07 755 60 B
10:01 20.08 1518 60 B
10:01 20.09 1739 76 B
10:01 20.11 5830 438 B
10:01 20.11 1150 60 S
10:01 20.14 2254 179 B
10:01 20.11 904 34 S
10:01 20.14 414 51 B
10:01 20.14 1237 84 B
10:01 20.15 1708 143 B
10:01 20.17 650 48 B
10:01 20.17 446 33 B
10:01 20.17 915 69 B
10:02 20.18 657 64 B
10:02 20.18 1799 158 B
10:02 20.18 1463 54 S
10:02 20.17 1899 145 S
10:02 20.18 2103 216 B
10:02 20.16 646 58 S
10:02 20.15 735 59 S
10:02 20.14 1189 82 S
10:02 20.1 872 52 S
10:02 20.1 483 23 S
10:02 20.11 150 27 B
10:02 20.11 194 21 B
10:02 20.11 502 44 B
10:02 20.1 813 45 S
10:02 20.1 359 23 B
